ID,Species,Interactions,Connectance,Type of interactions,Type of data,Reference,Locality of Study,Latitude,Longitude
A_HP_002,42,96,0.222,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Akmolinsk,51.166667,71.416667
A_HP_003,32,108,0.522,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Altai,49,89
A_HP_004,27,52,0.413,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Amur,50.283333,127.533333
A_HP_006,53,123,0.208,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Armenia,40.183529,44.516602
A_HP_007,25,43,0.316,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Central Yakutia,66.4,129.166667
A_HP_008,32,37,0.193,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Chimkent,42.316667,69.595833
A_HP_009,36,97,0.315,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Dzhungarsky Alatau,45,80
A_HP_010,49,88,0.158,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",East Balkhash,46.166667,74.333333
A_HP_012,30,63,0.391,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Gissar,38.7775,68.423056
A_HP_016,27,52,0.413,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Khabarovsk,48.483333,135.066667
A_HP_018,36,127,0.403,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Kostroma,57.766667,40.933333
A_HP_019,27,36,0.222,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Krasnojarsk,56.016667,93.066667
A_HP_030,29,51,0.243,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",North Russian Far East,65.694476,148.710938
